asfasfasd
Time Stamp,HR Status,Heart Rate(bpm),RR
00:27:14,LOCKED,54,1.12826
00:27:15,LOCKED,54,1.11166
00:27:15,LOCKED,54,1.11166
00:27:16,LOCKED,54,1.11166
00:27:16,LOCKED,54,1.11166
00:27:17,LOCKED,54,1.14485
00:27:17,LOCKED,54,1.14485
00:27:18,LOCKED,54,1.12826
00:27:18,LOCKED,54,1.12826
00:27:19,LOCKED,54,1.12826
00:27:19,LOCKED,54,1.12826
00:27:20,LOCKED,54,1.07848
00:27:20,LOCKED,54,1.07848
00:27:22,LOCKED,54,1.11166
00:27:22,LOCKED,54,1.11166
00:27:22,LOCKED,54,1.11166
00:27:23,LOCKED,54,1.12826
00:27:23,LOCKED,54,1.12826
00:27:24,LOCKED,54,1.09507
00:27:24,LOCKED,54,1.09507
00:27:25,LOCKED,54,1.06189
00:27:25,LOCKED,54,1.06189
00:27:26,LOCKED,54,1.09507
00:27:26,LOCKED,54,1.09507
00:27:27,LOCKED,54,1.09507
00:27:27,LOCKED,54,1.09507
00:27:28,LOCKED,54,1.12826
00:27:28,LOCKED,54,1.12826
00:27:29,LOCKED,54,1.11166
00:27:29,LOCKED,53,1.11166
00:27:30,LOCKED,53,1.11166
00:27:30,LOCKED,53,1.11166
00:27:31,LOCKED,53,1.11166
00:27:31,LOCKED,53,1.11166
00:27:33,LOCKED,53,1.09507
00:27:33,LOCKED,54,1.09507
00:27:33,LOCKED,54,1.09507
00:27:34,LOCKED,54,1.09507
00:27:34,LOCKED,54,1.09507
00:27:35,LOCKED,54,1.12826
00:27:35,LOCKED,54,1.12826
00:27:36,LOCKED,54,1.12826
00:27:36,LOCKED,54,1.12826
00:27:37,LOCKED,54,1.11166
00:27:37,LOCKED,54,1.11166
00:27:38,LOCKED,54,1.11166
00:27:38,LOCKED,54,1.11166
00:27:39,LOCKED,54,1.12826
00:27:39,LOCKED,54,1.12826
00:27:40,LOCKED,54,1.12826
00:27:40,LOCKED,54,1.12826
00:27:41,LOCKED,54,1.07848
00:27:41,LOCKED,54,1.07848
